Sulphur Dioxide Releases,27763,33%
Tailings,17490,21%
Nitrogen Oxide Releases,13322,16%
Particulate Matter Releases,11731,14%
Volatile Organic Compound Releases,5728,7%
Carbon Monoxide Releases,4609,5%
Other Releases,2992,3%
Other Disposals and Transfers,896,1%
