Particulate Matter Releases,14701,57%
Tailings,8322,32%
Nitrogen Oxide Releases,1071,4%
Volatile Organic Compound Releases,710,3%
Carbon Monoxide Releases,793,3%
Other Releases,178,1%
Sulphur Dioxide Releases,34,0%
Other Disposals and Transfers,105,0%
