Volatile Organic Compound Releases,10815,33%
Particulate Matter Releases,6518,20%
Tailings,5700,18%
Sulphur Dioxide Releases,2754,8%
Nitrogen Oxide Releases,2621,8%
Carbon Monoxide Releases,2576,8%
Other Releases,1581,5%
