Particulate Matter Releases,24564,81%
Carbon Monoxide Releases,2271,8%
Volatile Organic Compound Releases,2265,7%
Nitrogen Oxide Releases,723,2%
Other Releases,255,1%
Tailings,238,1%
Other Disposals and Transfers,43,0%
