Rejets de matière particulaire,36725,39%
Rejets de composés organiques volatils,14807,16%
Rejets de dioxyde de soufre,13404,14%
Rejets d'oxydes d'azote,13110,14%
Résidus miniers,9516,10%
Rejets de monoxyde de carbone,3216,3%
Autres rejets,2346,3%
Autre éliminations et transferts,748,1%
