Résidus miniers,23716,65%
Rejets de matière particulaire,6381,18%
Rejets de composés organiques volatils,4828,13%
Rejets d'oxydes d'azote,1014,3%
Autres rejets,359,1%
Rejets de monoxyde de carbone,152,0%
