Rejets de matière particulaire,14701,57%
Résidus miniers,8322,32%
Rejets d'oxydes d'azote,1071,4%
Rejets de composés organiques volatils,710,3%
Rejets de monoxyde de carbone,793,3%
Autres rejets,178,1%
Rejets de dioxyde de soufre,34,0%
Autre éliminations et transferts,105,0%
