Rejets de dioxyde de soufre,27763,33%
Résidus miniers,17490,21%
Rejets d'oxydes d'azote,13322,16%
Rejets de matière particulaire,11731,14%
Rejets de composés organiques volatils,5728,7%
Rejets de monoxyde de carbone,4609,5%
Autres rejets,2992,3%
Autre éliminations et transferts,896,1%
