Rejets de matière particulaire,10733,66%
Résidus miniers,2957,18%
Rejets de composés organiques volatils,1149,7%
Rejets de monoxyde de carbone,807,5%
Rejets d'oxydes d'azote,589,4%
Autres rejets,27,0%
