Rejets de matière particulaire,24564,81%
Rejets de monoxyde de carbone,2271,8%
Rejets de composés organiques volatils,2265,7%
Rejets d'oxydes d'azote,723,2%
Autres rejets,255,1%
Résidus miniers,238,1%
Autre éliminations et transferts,43,0%
