Rejets de composés organiques volatils,10815,33%
Rejets de matière particulaire,6518,20%
Résidus miniers,5700,18%
Rejets de dioxyde de soufre,2754,8%
Rejets d'oxydes d'azote,2621,8%
Rejets de monoxyde de carbone,2576,8%
Autres rejets,1581,5%
